line,family,code,desc,size,spec,unit,status,catalog,mill_note
213,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
214,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
215,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"1-1/4""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
216,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
217,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
218,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
219,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
220,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
221,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"1-1/2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
222,CPVC D2846 fittings (if manufactured),CPVC-ELBOW,90 elbow CTS D2846 (socket),"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
223,CPVC D2846 fittings (if manufactured),CPVC-CPLNG,Coupling CTS D2846 (socket),"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
224,CPVC D2846 fittings (if manufactured),CPVC-TEE,Tee CTS D2846 (socket),"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
225,CPVC D2846 fittings (if manufactured),CPVC-MADPTR,Male adapter CTS D2846 (MPT x socket),"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
226,CPVC D2846 fittings (if manufactured),CPVC-FADPTR,Female adapter CTS D2846 (FPT x socket),"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
227,CPVC D2846 fittings (if manufactured),CPVC-UNION,Union CTS D2846,"2""","ASTM D2846 CTS fittings for SDR-11 pipe, NSF-pw",pc,New — we want to stock,Not in 2026 NA catalog — quote only if you mold D2846 CTS,"Sockets must fit SDR-11 CTS, not Sch 80 IPS. Leave FOB blank if you do not mold CPVC."
